1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,shape
,,153.0,169.0,164.0,172.0,164.0,164.0,165.0,165.0,173.0,165.0,165.0,166.0,158.0,151.0,134.0,135.0,152.0,160.0,171.0,163.0,167.0,167.0,179.0,179.0,182.0,171.0,178.0,175.0,183.0,180.0,180.0,165.0,149.0,145.0,161.0,176.0,176.0,176.0,175.0,183.0,173.0,165.0,165.0,174.0,176.0,170.0,170.0,163.0,163.0,163.0,163.0,169.0,159.0,165.0,155.0,155.0,155.0,155.0,155.0,164.0,157.0,157.0,148.0,164.0,164.0,157.0,157.0,151.0,151.0,137.0,pyramid
,,164.0,155.0,155.0,159.0,152.0,161.0,165.0,173.0,169.0,161.0,169.0,164.0,172.0,165.0,159.0,145.0,145.0,160.0,175.0,173.0,172.0,168.0,178.0,178.0,173.0,172.0,174.0,178.0,182.0,174.0,179.0,176.0,169.0,152.0,137.0,155.0,164.0,182.0,171.0,182.0,171.0,175.0,175.0,183.0,178.0,173.0,172.0,181.0,181.0,182.0,174.0,158.0,141.0,151.0,166.0,182.0,172.0,172.0,164.0,164.0,155.0,155.0,155.0,155.0,155.0,164.0,164.0,164.0,160.0,153.0,pyramid
,,157.0,152.0,152.0,161.0,161.0,168.0,159.0,159.0,159.0,168.0,164.0,164.0,164.0,157.0,165.0,170.0,181.0,166.0,163.0,160.0,167.0,159.0,163.0,175.0,182.0,190.0,182.0,182.0,182.0,186.0,191.0,179.0,164.0,144.0,135.0,142.0,162.0,171.0,182.0,178.0,182.0,182.0,178.0,185.0,174.0,178.0,170.0,178.0,179.0,168.0,152.0,151.0,165.0,165.0,157.0,148.0,164.0,164.0,164.0,155.0,155.0,155.0,155.0,160.0,153.0,158.0,152.0,152.0,141.0,154.0,pyramid
,,145.0,145.0,134.0,134.0,135.0,142.0,149.0,155.0,160.0,160.0,169.0,164.0,164.0,164.0,165.0,174.0,178.0,178.0,178.0,166.0,159.0,145.0,157.0,175.0,194.0,190.0,190.0,185.0,190.0,177.0,177.0,173.0,182.0,183.0,175.0,176.0,161.0,172.0,164.0,182.0,178.0,178.0,178.0,178.0,182.0,178.0,182.0,177.0,168.0,165.0,169.0,178.0,172.0,168.0,160.0,164.0,157.0,150.0,134.0,150.0,150.0,157.0,152.0,159.0,168.0,164.0,157.0,152.0,151.0,167.0,pyramid
,,158.0,169.0,161.0,161.0,155.0,155.0,155.0,161.0,161.0,166.0,161.0,169.0,157.0,150.0,134.0,142.0,158.0,174.0,178.0,174.0,174.0,170.0,166.0,159.0,166.0,166.0,174.0,166.0,171.0,172.0,165.0,152.0,135.0,135.0,151.0,168.0,182.0,179.0,182.0,184.0,182.0,178.0,174.0,178.0,182.0,185.0,185.0,172.0,172.0,165.0,159.0,159.0,151.0,165.0,157.0,169.0,169.0,169.0,172.0,164.0,164.0,155.0,155.0,155.0,164.0,164.0,164.0,156.0,151.0,159.0,pyramid
,,164.0,157.0,161.0,153.0,153.0,152.0,162.0,164.0,168.0,151.0,150.0,150.0,161.0,168.0,168.0,164.0,164.0,164.0,168.0,177.0,168.0,172.0,164.0,172.0,174.0,168.0,172.0,171.0,186.0,182.0,182.0,181.0,185.0,185.0,185.0,185.0,178.0,178.0,178.0,182.0,186.0,175.0,164.0,144.0,137.0,155.0,172.0,191.0,191.0,182.0,178.0,174.0,172.0,172.0,173.0,173.0,178.0,173.0,179.0,172.0,159.0,147.0,134.0,135.0,151.0,158.0,164.0,155.0,155.0,148.0,pyramid
,,162.0,158.0,148.0,158.0,158.0,164.0,159.0,168.0,163.0,171.0,171.0,172.0,172.0,164.0,164.0,164.0,172.0,167.0,151.0,137.0,144.0,159.0,175.0,186.0,186.0,178.0,178.0,175.0,175.0,170.0,165.0,177.0,177.0,190.0,190.0,194.0,174.0,154.0,135.0,155.0,171.0,190.0,185.0,190.0,182.0,187.0,187.0,190.0,178.0,174.0,170.0,178.0,178.0,181.0,167.0,151.0,137.0,151.0,158.0,164.0,159.0,159.0,159.0,155.0,155.0,155.0,164.0,164.0,168.0,159.0,pyramid
,,152.0,141.0,152.0,161.0,161.0,161.0,161.0,161.0,150.0,145.0,152.0,165.0,165.0,165.0,168.0,172.0,172.0,164.0,164.0,165.0,174.0,166.0,175.0,160.0,152.0,137.0,144.0,164.0,178.0,178.0,178.0,169.0,173.0,162.0,166.0,174.0,181.0,190.0,178.0,178.0,166.0,165.0,169.0,177.0,177.0,173.0,173.0,179.0,178.0,179.0,174.0,175.0,174.0,174.0,172.0,164.0,172.0,164.0,164.0,164.0,158.0,152.0,157.0,155.0,170.0,151.0,167.0,158.0,164.0,155.0,pyramid
,,155.0,148.0,152.0,154.0,154.0,149.0,157.0,157.0,157.0,148.0,148.0,141.0,141.0,141.0,148.0,157.0,157.0,165.0,157.0,164.0,164.0,169.0,163.0,156.0,159.0,171.0,175.0,176.0,179.0,183.0,173.0,178.0,181.0,187.0,182.0,178.0,185.0,190.0,190.0,178.0,158.0,142.0,154.0,174.0,194.0,190.0,190.0,178.0,178.0,166.0,166.0,171.0,169.0,177.0,172.0,181.0,178.0,170.0,155.0,142.0,135.0,148.0,159.0,165.0,159.0,164.0,157.0,157.0,148.0,155.0,pyramid
,,149.0,148.0,141.0,145.0,152.0,152.0,148.0,152.0,152.0,152.0,148.0,155.0,159.0,164.0,163.0,159.0,163.0,164.0,168.0,168.0,168.0,168.0,173.0,167.0,175.0,162.0,177.0,165.0,174.0,166.0,178.0,171.0,178.0,174.0,174.0,174.0,174.0,181.0,185.0,190.0,182.0,164.0,144.0,155.0,174.0,194.0,190.0,190.0,185.0,190.0,178.0,171.0,168.0,168.0,176.0,175.0,179.0,171.0,156.0,144.0,135.0,134.0,142.0,158.0,165.0,164.0,164.0,157.0,157.0,148.0,pyramid
