1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,shape
134,171,155,181,155,181,155,156,184,155,181,159,155,184,134,134,134,138,184,159,171,159,172,171,194,172,181,159,194,171,184,184,172,138,138,159,185,185,159,184,181,184,155,155,184,184,159,168,184,138,168,184,138,184,155,155,155,155,155,155,155,181,134,155,155,181,155,134,181,138,134,138,pyramid
181,155,155,155,155,168,134,181,181,156,171,155,181,155,181,159,138,138,159,184,181,155,181,168,184,181,155,181,185,168,194,159,184,184,138,134,138,194,159,194,159,194,159,172,194,184,155,181,181,181,181,185,155,134,134,184,181,181,155,181,156,155,155,155,155,155,155,181,155,155,171,134,pyramid
181,134,155,168,134,181,168,155,155,168,155,181,155,155,181,134,181,194,168,137,184,159,159,159,171,194,181,194,172,181,194,184,194,159,138,134,134,159,194,159,194,181,172,194,168,194,159,181,171,181,184,138,134,181,181,134,155,155,181,155,155,155,155,155,155,171,134,168,155,134,134,194,pyramid
134,168,134,134,134,134,138,155,155,155,171,155,181,155,155,181,159,181,194,159,181,159,138,138,194,194,194,181,194,181,194,155,181,184,181,184,159,185,138,194,159,194,181,159,194,181,171,181,194,155,155,185,168,181,168,156,155,181,134,134,134,181,134,155,168,155,181,155,134,168,152,181,pyramid
138,181,155,172,155,155,155,155,155,172,155,172,155,181,134,134,134,159,181,181,171,171,181,159,159,159,181,159,181,159,172,184,138,134,134,138,181,184,181,172,194,185,168,181,172,181,194,181,181,155,181,159,138,181,134,181,155,171,181,155,181,156,155,155,155,155,181,155,155,159,138,181,pyramid
155,155,181,134,169,155,134,168,185,138,181,134,134,181,168,155,181,155,155,181,168,181,155,181,155,181,185,138,194,181,184,181,181,181,194,181,181,194,159,181,194,171,194,159,138,134,138,194,184,194,194,159,181,181,155,181,184,155,194,171,172,172,134,134,134,138,181,155,155,155,155,134,pyramid
168,181,138,155,152,168,155,168,155,181,152,181,181,155,181,155,155,181,181,138,134,138,159,181,184,194,181,159,194,171,159,181,155,194,181,194,194,194,134,134,138,194,181,194,181,194,172,194,194,181,159,181,171,181,181,181,138,134,138,181,155,155,168,155,155,155,155,155,181,155,168,155,pyramid
168,134,155,134,168,181,134,168,181,134,134,168,155,172,168,155,181,181,155,155,181,159,181,159,184,138,134,138,159,194,181,159,194,155,171,159,168,194,181,194,159,181,159,155,194,181,155,184,181,172,181,185,155,185,181,155,181,155,181,155,155,181,138,138,194,134,181,138,181,155,156,155,pyramid
156,155,155,134,168,159,134,155,181,134,155,156,134,134,155,134,155,181,134,181,155,155,181,171,138,159,181,172,172,184,181,184,155,194,194,172,181,181,194,194,181,159,134,134,194,194,194,181,194,159,181,159,159,194,155,181,181,181,171,159,134,134,138,171,168,155,155,181,134,155,155,155,pyramid
138,155,155,134,134,168,155,134,155,168,134,155,155,155,168,168,152,156,181,155,168,181,155,169,194,138,194,155,181,159,181,159,194,159,181,181,159,181,181,181,194,194,159,138,134,194,194,194,181,194,181,194,159,159,185,159,184,181,172,159,138,134,134,134,159,181,155,155,181,134,155,155,pyramid
