1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,shape
142,148,135,204,142,141,145,191,138,138,178,131,131,191,120,138,191,162,145,162,138,134,135,148,128,145,134,134,169,138,138,155,165,145,141,135,134,134,138,134,138,159,141,141,159,152,148,148,138,134,135,159,141,141,191,165,162,162,159,138,138,165,145,145,178,134,138,159,159,162,163,159,138,138,165,149,148,169,138,141,162,181,152,152,191,148,148,191,141,141,145,138,138,141,165,178,191,191,145,145,138,star
142,141,178,145,178,204,191,191,191,141,138,191,135,131,148,138,135,138,159,138,138,159,165,145,162,138,138,138,141,141,162,165,148,165,191,141,138,169,134,135,152,138,142,191,165,148,148,178,142,141,159,138,134,138,145,145,148,156,138,138,159,134,135,152,145,131,165,138,138,191,165,152,152,191,145,145,138,138,138,162,131,134,191,138,141,141,191,134,135,145,128,145,178,134,134,141,141,141,159,134,134,star
131,134,138,141,145,191,156,138,138,191,148,152,159,141,142,178,135,134,159,142,141,162,138,134,138,145,128,162,134,135,159,141,141,138,134,131,165,138,138,138,145,145,191,152,165,165,191,138,134,156,145,145,162,148,134,152,156,138,152,169,145,142,159,134,135,134,138,138,159,178,162,162,191,138,138,191,149,148,152,138,138,159,162,165,165,165,162,142,141,138,134,138,159,145,148,159,138,142,142,138,135,star
138,120,138,145,141,191,191,191,165,191,138,138,191,145,145,145,152,134,181,138,138,138,191,145,145,159,138,134,138,141,142,162,165,148,165,191,141,138,169,135,134,169,141,141,191,152,152,152,178,145,145,159,138,138,141,148,148,152,138,141,141,159,138,134,155,135,131,134,138,141,178,134,135,156,165,148,148,141,124,141,165,134,135,138,141,141,141,138,135,134,145,128,145,191,135,138,142,141,141,159,134,star
120,120,148,131,191,138,138,138,191,131,148,142,120,121,191,141,145,191,191,191,162,138,134,152,142,138,138,145,141,159,178,145,162,159,148,148,138,134,134,159,138,138,159,159,159,159,178,148,145,191,138,138,156,159,145,162,165,152,152,165,162,142,159,156,138,138,191,148,149,156,159,159,162,159,138,138,138,134,138,162,148,134,159,162,162,178,162,142,145,141,138,142,191,135,138,162,148,191,191,145,145,star
141,138,191,178,162,141,159,134,148,138,135,134,191,138,138,159,141,138,155,191,145,141,169,148,148,178,135,152,191,156,138,155,191,162,145,159,138,134,155,141,142,191,152,152,152,191,145,145,162,141,138,142,165,135,138,191,162,148,165,162,145,145,142,141,141,191,134,138,191,134,135,156,148,131,191,145,131,156,138,141,191,134,134,156,191,131,148,141,121,124,191,131,134,138,138,138,138,165,145,188,120,star
162,191,191,145,145,191,120,124,178,131,138,141,191,162,162,134,117,191,127,127,162,135,134,191,138,138,138,165,141,141,135,131,148,135,134,181,156,134,165,162,138,134,145,138,138,162,142,141,162,162,159,159,181,148,148,204,138,138,155,159,142,159,178,162,162,162,159,138,155,152,148,148,155,141,162,178,152,152,156,152,148,152,162,145,148,204,141,141,191,138,138,141,159,138,138,204,135,120,142,135,134,star
145,162,138,120,191,135,134,191,142,142,178,178,191,178,141,138,138,135,131,152,138,134,138,141,141,141,159,148,145,159,135,134,138,138,138,191,162,141,159,152,148,162,138,138,138,142,141,159,178,162,162,162,155,134,135,178,145,145,191,135,135,155,159,159,159,159,152,134,178,145,145,165,138,138,191,166,165,152,191,145,148,159,138,141,178,134,135,159,162,178,165,191,141,145,191,138,138,162,135,135,138,star
141,145,162,191,120,138,134,131,134,141,141,178,178,191,178,162,142,138,134,131,131,191,134,138,191,141,141,141,191,148,162,138,135,135,141,138,141,162,162,141,159,148,149,159,138,134,159,141,141,178,162,162,162,191,138,134,191,145,145,162,152,134,152,159,159,159,159,155,134,152,162,145,148,156,138,159,178,165,152,182,162,145,191,142,141,145,152,135,138,162,178,178,178,162,141,145,138,138,142,165,135,star
134,141,145,162,191,138,120,152,131,134,141,141,141,178,178,191,178,141,138,191,131,131,191,138,134,159,141,142,141,159,148,145,141,134,134,138,138,138,162,162,142,159,152,148,191,138,138,138,141,142,191,165,162,162,191,155,135,152,162,145,145,178,134,134,204,159,159,159,191,134,135,178,145,145,181,138,138,191,165,152,178,191,145,148,141,138,141,165,134,135,191,165,191,165,191,145,145,159,138,141,162,star
