1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490,491,492,493,494,495,496,497,498,499,500,501,502,503,504,505,506,507,508,509,shape
145,162,191,191,152,148,148,134,134,134,134,148,152,152,191,191,191,201,159,159,138,138,138,138,138,138,138,138,138,138,138,138,138,159,204,204,191,191,148,148,145,145,145,145,145,145,145,162,188,159,138,138,138,134,135,135,134,134,134,134,134,138,155,191,141,141,141,141,141,141,141,141,141,141,141,159,191,191,191,178,165,165,148,148,148,178,178,178,178,178,165,162,178,178,191,191,191,159,138,138,138,138,135,134,134,134,134,134,191,178,178,178,148,145,145,145,145,141,141,145,141,141,141,142,145,162,191,191,165,148,134,134,134,134,134,134,134,134,152,152,152,152,155,156,155,155,138,138,138,138,138,138,138,155,155,156,155,155,155,152,168,191,191,165,149,148,145,145,145,145,145,145,145,145,145,162,159,159,155,138,138,134,134,135,134,134,134,134,134,134,134,138,155,156,159,159,141,141,141,141,141,141,141,141,142,159,162,162,191,178,165,165,148,148,148,148,148,148,148,148,148,148,148,165,165,178,178,191,162,159,141,142,141,141,141,141,141,141,141,159,159,169,152,134,134,134,134,134,134,134,135,134,134,135,134,138,138,159,159,141,141,141,141,141,141,141,141,141,145,145,162,191,178,165,165,165,152,152,152,152,152,152,152,152,152,152,152,152,152,191,191,191,191,162,162,145,145,145,145,145,145,145,145,145,145,145,162,159,159,159,138,138,138,138,138,138,138,138,138,138,141,142,141,159,162,148,148,148,148,148,148,148,148,134,152,152,191,191,191,159,159,159,141,141,141,141,141,141,141,141,141,141,141,142,141,162,162,159,159,159,138,138,138,138,138,134,134,134,134,138,138,191,178,165,165,148,148,148,131,131,131,131,131,131,134,134,134,156,138,138,138,138,138,138,141,141,141,142,141,145,162,178,191,191,181,169,152,169,191,191,191,191,191,191,191,191,191,191,191,191,191,178,178,148,148,145,145,145,145,145,148,148,178,191,191,141,141,141,138,138,138,138,138,138,141,141,141,141,141,162,178,165,152,148,148,134,135,134,134,135,134,134,191,191,191,159,138,138,138,138,138,138,141,138,141,141,141,141,141,141,141,141,159,159,191,191,191,169,135,134,134,134,135,134,134,134,178,191,188,162,162,141,141,141,141,141,141,141,141,stern
141,141,141,141,145,145,145,145,148,178,191,191,138,138,138,138,138,138,138,138,138,141,141,162,191,191,191,191,191,152,152,134,134,134,134,134,134,138,138,138,138,155,204,204,191,152,152,135,134,131,131,134,134,134,134,134,178,162,145,145,145,131,131,131,131,131,131,131,131,134,191,138,138,138,138,138,138,138,138,138,141,142,141,162,191,191,191,152,152,134,134,134,134,135,134,134,134,134,134,134,134,204,204,191,191,148,145,131,131,131,131,127,145,148,191,191,191,159,159,141,138,138,120,120,120,120,120,120,120,138,138,141,141,188,191,148,148,131,131,131,131,131,131,131,131,148,152,191,155,155,134,134,134,134,134,134,134,134,135,134,134,134,134,134,134,191,191,148,145,145,145,145,145,127,145,145,141,141,141,159,138,138,134,134,117,117,117,117,117,117,117,134,134,135,134,138,138,138,138,138,120,120,120,120,120,138,138,138,138,138,159,162,141,141,142,141,141,141,141,141,138,138,138,138,138,138,159,204,191,165,148,148,145,145,145,145,145,145,145,162,204,159,138,134,134,135,135,134,131,131,131,131,134,134,134,152,169,138,134,135,134,134,134,134,135,134,134,134,152,155,204,159,159,159,138,138,138,138,138,138,138,138,138,155,155,155,169,169,191,191,191,191,162,145,145,141,141,141,141,141,142,138,138,159,159,159,191,178,152,148,148,148,148,148,145,145,145,145,145,148,148,165,165,165,152,152,152,135,134,134,134,134,152,152,152,152,152,168,191,191,156,155,155,155,155,156,138,138,138,155,155,155,155,156,155,155,169,191,191,191,178,162,162,162,145,145,145,145,145,145,145,145,162,159,159,156,138,138,138,138,138,138,134,138,138,138,138,138,138,155,159,159,159,159,141,141,141,141,145,145,145,145,162,162,178,178,178,178,178,168,168,178,191,191,191,191,191,191,191,191,191,191,191,191,191,178,165,165,148,149,148,148,148,148,148,148,165,162,162,162,159,141,141,142,141,141,141,141,142,141,141,145,145,145,162,178,178,178,169,152,152,138,138,138,138,138,138,159,159,159,191,162,162,178,178,178,178,178,178,191,191,191,191,191,191,191,191,191,191,191,191,191,191,191,162,145,145,145,145,145,145,145,148,148,162,191,162,159,141,stern
141,141,141,141,141,159,138,138,138,120,120,120,120,120,120,120,120,120,120,138,138,142,191,145,145,145,145,145,131,131,145,145,148,178,191,191,191,155,138,138,138,135,134,134,134,134,134,134,134,134,156,204,191,191,165,148,145,145,145,145,145,145,145,145,145,159,138,135,120,120,117,117,117,117,117,117,134,134,134,138,138,141,141,141,138,141,138,138,138,138,142,141,141,191,191,178,178,178,162,162,162,145,145,145,145,145,145,145,162,162,162,159,159,138,138,134,134,134,135,131,131,131,131,148,148,191,191,162,141,138,138,138,138,138,138,120,138,134,134,138,134,138,138,159,159,141,141,141,142,142,138,138,138,138,141,142,159,191,191,162,162,162,162,145,145,145,162,162,162,141,141,141,141,159,159,159,204,204,169,152,152,148,148,148,148,148,145,145,145,148,162,162,204,159,138,138,138,134,134,134,135,135,134,135,134,134,134,152,155,156,138,138,138,138,138,138,138,138,138,138,138,156,159,159,159,159,159,159,159,159,159,159,159,141,159,159,159,159,159,159,159,204,191,169,152,152,148,148,148,148,148,148,148,148,148,178,191,191,159,159,141,138,138,138,138,138,138,138,138,138,141,159,159,159,162,162,145,145,145,145,145,145,145,145,145,162,165,178,178,191,168,168,152,152,152,152,152,152,152,152,152,152,152,152,155,169,169,191,191,191,178,178,162,148,148,145,145,145,145,145,145,145,148,162,162,191,159,159,141,141,138,138,138,138,138,138,138,141,141,141,159,159,162,178,165,152,148,148,152,152,134,134,152,152,152,156,159,159,159,159,159,159,159,159,162,162,162,162,162,162,162,162,162,162,162,162,162,191,162,162,141,141,142,141,141,141,142,141,141,141,159,159,159,138,138,138,138,138,138,138,138,138,138,138,138,141,162,191,178,152,152,134,134,134,134,134,134,138,138,159,159,159,162,162,162,162,162,162,162,178,191,191,178,178,178,178,178,191,191,191,191,162,145,145,145,145,145,145,145,145,145,145,191,191,159,141,141,138,141,141,141,124,124,124,142,141,141,141,145,162,178,191,191,134,135,134,135,135,134,135,138,138,138,138,159,191,162,178,165,165,178,178,191,191,191,191,191,191,178,191,178,178,191,191,191,191,145,145,142,stern
138,138,138,138,138,138,138,138,141,204,191,162,162,162,145,145,141,145,142,141,141,141,141,141,141,138,138,159,204,194,191,152,148,148,145,145,145,145,141,141,145,162,159,159,134,134,134,134,134,131,131,131,131,131,148,148,165,191,191,156,135,134,135,134,134,135,134,134,152,152,194,194,204,156,155,155,138,156,155,156,156,156,152,152,152,152,152,165,165,178,191,162,159,142,141,138,138,138,138,138,138,138,156,156,191,178,148,148,145,145,145,145,145,142,142,141,141,145,145,159,162,191,165,165,148,148,148,148,148,148,148,148,148,148,148,165,165,178,191,181,152,152,152,152,152,152,152,152,152,152,152,152,152,165,165,165,178,191,162,162,162,159,159,141,141,141,141,141,141,155,155,155,159,169,169,152,152,148,148,134,134,134,135,134,134,148,148,152,152,152,152,155,155,156,138,138,138,138,138,142,141,141,159,159,159,191,191,178,165,165,165,165,165,165,165,165,152,152,152,152,152,152,152,165,178,178,191,162,162,162,145,145,145,145,145,145,145,162,162,191,159,159,141,141,138,138,138,138,138,141,141,141,141,159,159,162,165,165,152,134,134,135,134,134,134,135,138,138,138,159,191,191,191,162,162,162,162,148,148,149,148,148,148,148,152,152,152,152,152,178,178,178,165,145,145,145,145,145,145,145,148,148,148,148,148,178,162,162,145,145,141,141,145,145,145,145,145,145,145,145,148,178,191,155,138,138,138,138,138,138,138,141,141,141,141,145,162,191,191,191,169,152,134,134,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,134,134,134,134,134,134,134,134,134,134,138,138,191,152,148,134,131,131,131,131,117,117,117,134,134,134,138,138,141,141,141,141,141,141,145,145,145,145,148,191,191,204,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,201,191,191,134,134,134,131,131,131,131,131,134,135,191,191,162,145,141,128,124,124,124,124,127,127,127,141,145,162,188,191,134,134,134,131,131,117,134,134,134,134,191,191,191,159,141,138,141,142,138,138,138,138,138,138,138,138,138,138,138,138,138,204,191,191,152,148,131,131,131,131,131,131,145,145,162,159,141,138,138,120,120,120,117,117,117,117,135,135,134,134,138,191,stern
145,191,191,169,168,169,156,155,155,155,191,191,191,138,138,138,138,155,155,191,191,191,191,178,165,148,148,148,131,131,131,148,148,178,191,162,162,141,141,142,141,141,141,124,141,141,141,141,141,145,162,178,152,134,134,134,134,134,134,134,134,134,138,155,159,159,141,141,141,141,141,141,141,141,141,142,142,141,141,141,159,159,159,138,138,134,134,134,134,134,134,134,134,134,191,178,162,145,145,145,127,127,127,127,127,128,145,145,145,162,178,191,134,134,134,135,134,134,134,134,134,135,134,134,155,204,159,138,141,141,138,138,138,138,138,138,138,138,138,138,138,138,138,155,155,204,152,152,134,134,131,131,131,131,131,148,149,148,178,191,141,138,138,138,138,138,138,138,138,138,138,138,138,138,138,159,191,162,145,141,141,141,141,142,141,145,145,145,162,191,191,178,165,165,165,148,148,148,148,148,148,148,148,148,165,165,178,178,191,191,159,141,138,138,138,138,134,134,134,135,134,134,191,178,165,148,145,145,145,145,145,145,145,145,145,145,145,162,191,178,152,148,134,134,134,148,134,148,148,148,152,152,168,155,156,155,138,138,138,138,138,138,138,138,138,138,138,152,156,155,155,191,191,178,165,162,145,145,145,141,141,141,141,141,159,159,191,155,155,138,134,134,134,134,134,134,134,134,134,134,134,152,155,155,159,138,138,138,138,138,138,138,138,138,138,141,141,159,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,162,178,178,191,191,159,138,138,138,138,138,138,138,138,138,138,138,156,191,178,152,148,148,148,148,148,148,148,148,148,148,148,148,152,152,191,191,138,138,138,138,138,138,138,138,138,141,141,159,159,162,162,178,165,165,165,165,165,165,165,165,165,165,165,178,178,178,178,191,191,162,162,141,141,141,141,141,141,141,141,141,159,159,159,138,138,138,138,134,138,138,138,138,138,138,138,138,141,159,162,162,148,145,148,148,148,148,148,148,148,152,191,191,191,159,159,142,141,138,141,141,141,141,141,142,141,141,141,159,159,191,191,159,159,138,138,138,134,134,134,138,138,138,138,138,138,191,178,178,165,152,148,134,131,131,131,131,131,134,134,134,191,191,159,141,141,141,141,141,141,141,141,141,stern
156,201,204,201,191,191,191,148,145,145,145,145,145,145,145,145,145,191,138,138,120,120,120,120,120,120,120,120,120,120,120,121,138,159,191,162,141,141,141,141,141,141,145,145,145,162,178,178,191,181,152,152,152,152,152,191,191,152,178,152,165,165,165,178,178,191,162,141,138,138,120,120,120,138,138,135,138,138,191,165,148,131,131,128,127,127,128,127,127,145,145,145,145,191,178,152,134,131,131,131,131,131,148,148,148,152,191,181,155,156,135,135,135,134,134,135,135,135,152,152,152,152,165,165,178,191,191,162,159,141,138,138,138,138,138,138,134,134,138,156,191,178,165,148,145,145,145,145,145,141,141,141,141,141,141,145,162,191,165,148,148,148,148,149,145,145,145,145,148,148,178,191,191,191,181,152,152,152,152,152,152,152,165,165,165,165,165,165,165,178,191,191,191,204,155,138,138,138,138,138,138,138,134,134,138,152,191,191,191,162,162,145,145,141,141,141,142,142,141,141,145,145,162,162,191,165,148,148,149,148,148,148,148,149,148,152,152,178,181,168,156,155,155,156,156,156,155,156,156,155,155,156,155,155,155,155,169,191,178,165,165,148,148,148,145,145,148,148,148,162,162,191,191,159,155,142,138,138,138,138,138,138,138,138,138,138,155,159,159,191,162,162,148,148,145,148,148,148,148,148,148,165,178,191,191,191,155,155,155,156,138,138,138,138,138,156,159,159,159,159,159,159,159,159,204,204,204,155,156,152,138,134,134,135,134,134,134,138,156,155,178,165,165,148,148,148,148,148,134,134,134,134,134,134,134,152,156,181,159,141,141,141,141,141,141,141,141,145,145,145,162,178,191,191,181,155,156,138,138,138,138,138,138,138,138,138,138,138,138,159,159,159,191,155,155,138,135,135,134,134,134,135,138,138,138,191,191,152,148,134,135,134,131,134,135,134,135,135,134,138,159,162,141,145,145,145,145,145,145,145,148,149,148,165,191,191,159,138,138,138,138,138,138,141,141,142,142,142,141,142,141,162,188,191,159,138,138,138,138,138,134,138,138,138,138,138,138,191,178,152,134,135,131,131,131,131,131,131,134,134,134,134,138,159,141,141,141,141,141,141,141,141,142,141,145,145,162,191,191,191,156,134,134,134,134,134,134,134,134,stern
191,191,134,134,131,131,131,131,131,149,148,148,162,191,159,138,138,138,138,134,134,134,134,134,135,135,134,134,138,138,138,138,138,138,138,138,138,138,138,138,138,138,159,159,162,162,162,162,141,141,141,141,141,141,141,141,141,141,159,159,159,159,204,181,152,149,148,148,148,145,145,145,145,145,162,162,159,138,138,134,134,134,134,134,134,134,135,134,135,152,152,155,156,138,138,138,138,138,138,138,138,138,138,138,155,159,159,159,162,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,159,204,191,169,152,152,152,149,148,148,148,148,148,148,148,148,165,191,191,191,159,141,141,142,138,138,138,138,138,138,138,141,141,141,159,191,191,162,148,148,148,145,145,148,148,149,148,148,165,178,181,168,168,155,155,155,155,155,155,156,155,156,155,155,155,156,156,156,155,168,191,191,178,152,149,148,148,148,148,148,148,148,148,148,165,178,162,162,159,141,141,141,141,141,141,141,141,141,145,145,162,162,178,178,152,134,134,134,134,134,134,134,138,138,138,155,159,191,162,162,162,162,162,162,162,162,178,178,165,148,165,165,165,178,178,191,162,162,162,145,145,145,141,145,145,145,145,162,162,204,159,142,138,138,138,138,138,138,141,141,141,141,145,145,145,178,165,152,135,135,134,134,135,134,134,134,138,138,138,159,159,175,162,162,162,165,165,178,148,148,148,148,148,165,165,165,165,165,178,191,191,191,178,162,145,145,145,145,145,145,145,145,145,148,191,191,159,141,142,141,141,142,124,124,141,141,141,141,141,145,145,178,191,134,134,134,135,135,135,134,135,138,138,138,138,141,162,162,162,145,145,162,162,178,178,178,178,178,178,178,178,178,178,191,191,191,141,141,141,141,141,141,141,141,142,141,141,191,138,138,134,134,120,117,117,117,117,117,120,120,138,138,138,191,145,145,145,141,145,145,145,145,145,145,178,191,191,191,191,191,134,134,134,134,134,135,134,134,135,134,191,191,191,191,191,178,145,145,141,141,141,141,141,141,141,141,141,141,138,134,135,134,134,117,117,117,117,131,134,134,134,134,134,191,138,138,138,120,120,120,120,120,120,138,138,138,138,141,159,191,162,162,162,145,141,141,141,141,141,141,141,141,141,141,141,stern
135,134,134,134,134,134,134,134,138,138,138,155,159,162,162,145,145,145,145,145,145,145,145,145,162,178,178,191,191,169,155,155,155,155,155,155,138,155,156,155,156,155,155,155,191,191,191,178,165,148,149,148,148,148,148,148,148,148,148,148,188,162,141,141,141,141,141,141,141,141,142,141,141,142,145,162,178,178,152,134,135,135,134,134,134,134,134,138,159,191,162,162,162,162,162,145,145,145,145,145,145,145,145,145,162,162,162,162,191,159,159,141,138,138,138,138,138,138,138,138,138,138,138,191,152,134,135,134,135,134,135,135,134,134,134,135,134,138,138,159,159,141,142,141,141,141,141,141,141,145,145,145,162,178,191,191,152,152,134,134,134,134,134,134,134,134,134,134,155,155,169,191,191,191,178,148,148,145,145,145,145,145,145,145,145,148,191,191,159,141,138,138,138,138,138,138,138,138,138,138,138,138,141,141,175,178,148,148,148,131,131,131,131,148,148,148,152,191,191,156,138,138,138,138,138,138,138,138,138,138,138,138,138,138,138,155,204,191,152,148,148,131,131,131,131,148,149,148,178,191,159,141,138,138,138,138,138,138,138,138,138,138,138,141,191,191,162,148,145,145,145,145,145,145,145,148,148,165,191,191,191,156,134,135,134,135,135,134,134,134,135,134,134,134,152,191,181,191,191,191,162,145,141,141,141,141,142,142,141,141,141,159,191,138,138,134,134,135,134,134,131,134,131,134,135,134,134,134,155,138,138,138,138,138,138,138,138,138,138,138,138,138,141,159,191,162,162,162,145,145,145,145,145,145,145,145,162,145,162,162,162,162,162,191,159,138,138,138,134,134,134,134,134,134,134,134,152,178,178,178,162,145,141,142,141,141,141,141,141,141,141,141,142,145,162,178,165,148,148,148,149,148,148,148,148,148,152,178,191,191,156,138,138,138,138,138,138,138,138,138,138,138,138,156,156,204,191,191,178,165,148,148,145,145,145,145,145,145,145,145,162,191,159,138,138,138,138,134,134,134,134,134,134,138,138,138,138,159,191,162,141,142,141,141,142,142,141,141,145,145,162,162,191,178,178,178,178,152,152,152,152,152,152,152,152,152,152,152,181,181,181,191,191,191,191,162,145,145,145,141,141,141,142,141,141,141,159,159,159,stern
135,135,135,155,204,159,162,141,141,142,141,145,145,145,145,145,145,162,178,178,178,178,178,191,162,141,141,141,142,141,141,141,141,142,141,141,142,159,138,138,138,120,120,120,120,120,120,120,120,120,138,141,162,191,178,148,131,131,131,131,131,131,131,134,191,191,191,138,138,138,138,138,138,138,141,141,141,141,141,142,141,159,138,138,138,135,134,135,135,117,117,131,131,134,135,191,178,162,145,141,127,124,124,124,124,124,124,142,141,145,162,191,152,135,131,131,131,131,131,131,131,134,134,152,191,204,138,138,138,138,138,134,134,134,134,134,135,135,135,134,134,135,169,191,178,178,145,145,141,142,142,141,141,141,141,138,138,138,156,135,134,135,131,131,131,131,131,131,131,131,131,148,148,165,178,134,134,134,134,131,131,131,131,131,134,135,152,152,168,155,155,138,134,134,134,134,134,134,134,135,134,152,152,152,165,165,178,191,191,159,138,138,138,138,138,135,135,134,134,138,156,191,191,162,145,142,141,142,141,141,142,141,138,138,141,141,159,159,162,145,145,145,145,141,141,141,141,141,145,162,162,162,191,178,165,165,162,162,162,162,162,162,162,162,162,162,162,162,159,159,159,204,155,152,152,135,134,134,135,134,148,148,148,165,165,191,191,159,141,141,138,138,138,138,138,138,138,138,138,138,138,156,159,159,159,159,141,141,141,141,141,142,141,141,159,159,162,162,162,178,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,165,178,178,191,191,159,159,159,159,141,142,141,138,138,138,141,155,155,159,191,191,165,152,152,152,148,135,134,134,134,134,134,134,152,152,152,156,159,159,159,141,140,141,141,141,141,141,141,145,145,162,162,191,178,178,181,181,168,152,169,169,152,155,155,155,155,156,155,156,169,181,191,191,178,165,152,148,148,148,148,148,148,148,152,178,191,191,162,162,145,145,145,145,145,145,145,148,148,148,148,165,191,191,159,156,138,138,141,141,141,141,141,141,145,162,178,191,181,169,156,155,155,138,138,138,138,138,138,138,138,141,141,141,159,159,159,159,159,138,138,138,138,138,138,138,138,138,138,138,138,138,181,134,134,134,134,135,134,134,134,135,135,134,138,138,138,159,191,162,162,162,148,148,131,stern
178,178,178,191,191,188,141,138,138,138,138,138,120,120,138,138,138,138,191,178,165,148,131,131,131,131,131,131,131,131,148,148,148,178,191,191,134,134,134,134,134,134,134,134,134,134,138,138,159,159,159,141,141,141,141,141,141,141,141,141,141,141,138,138,138,138,159,204,152,152,148,148,131,131,131,131,148,145,149,162,191,141,138,138,138,138,138,134,134,134,134,134,138,138,159,159,141,141,142,141,141,141,141,141,141,141,141,162,162,191,178,178,165,165,162,178,162,162,162,162,162,162,162,162,162,191,191,191,155,138,138,134,135,134,134,135,134,134,134,152,152,178,191,162,145,141,141,141,141,141,138,138,138,138,138,138,141,142,159,191,162,162,145,145,145,145,145,145,145,145,145,148,178,178,178,178,178,152,152,152,152,152,152,152,152,152,152,152,148,165,165,178,191,191,191,191,175,159,141,141,138,138,138,138,138,138,138,138,155,155,152,152,148,148,148,148,148,148,148,148,148,148,148,148,165,178,191,155,138,138,138,134,135,134,138,138,138,138,155,159,159,191,175,162,162,162,162,162,162,162,162,162,162,162,162,162,159,188,159,159,156,155,138,138,134,134,134,135,134,134,152,152,155,178,178,162,148,145,145,145,145,145,145,148,148,148,148,148,152,178,155,155,138,138,138,138,138,138,138,138,138,155,159,159,191,162,162,162,162,162,148,148,148,148,148,148,148,148,148,148,165,165,165,178,178,191,162,162,145,141,141,141,141,141,142,141,141,141,145,162,159,159,156,138,138,138,138,138,138,138,138,138,138,138,138,141,141,162,162,165,148,148,148,148,134,134,134,134,134,152,155,204,159,159,159,141,141,142,141,141,141,141,145,145,145,145,162,162,162,162,162,191,159,141,141,138,138,138,138,138,138,138,138,141,159,191,155,138,134,134,134,134,134,134,134,134,134,138,138,138,141,159,162,145,145,145,145,145,148,148,148,148,152,191,191,159,138,138,138,138,138,138,138,138,138,141,142,141,141,141,159,159,191,191,138,138,134,134,134,134,134,134,134,134,134,191,191,178,148,148,145,145,131,131,131,131,131,131,148,148,165,178,178,191,138,138,134,138,138,138,138,138,138,138,138,141,159,162,162,162,162,145,145,145,145,145,162,162,162,stern
