0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127
120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,117.0,117.0,117.0,117.0,117.0,120.0,117.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,117.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,117.0,117.0,99.0,99.0,113.0,117.0,113.0,99.0,117.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,117.0,117.0,117.0,120.0,117.0,120.0,120.0,117.0,117.0,117.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,117.0,117.0,117.0,117.0,99.0,117.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
99.0,99.0,99.0,99.0,117.0,99.0,117.0,99.0,117.0,117.0,117.0,117.0,117.0,113.0,99.0,99.0,99.0,99.0,117.0,100.0,117.0,117.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,117.0,117.0,99.0,117.0,117.0,117.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
178.0,145.0,145.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,145.0,178.0,178.0,120.0,120.0,117.0,99.0,99.0,99.0,99.0,120.0,120.0,124.0,178.0,178.0,178.0,178.0,169.0,178.0,178.0,188.0,188.0,178.0,178.0,191.0,191.0,178.0,178.0,178.0,124.0,120.0,120.0,100.0,99.0,117.0,120.0,124.0,145.0,178.0,178.0,178.0,191.0,191.0,178.0,178.0,188.0,178.0,178.0,178.0,188.0,178.0,178.0,178.0,178.0,124.0,124.0,120.0,99.0,99.0,99.0,117.0,120.0,124.0,145.0,169.0,178.0,178.0,169.0,169.0,178.0,178.0,191.0,178.0,178.0,191.0,191.0,178.0,178.0,178.0,124.0,120.0,117.0,99.0,99.0,99.0,99.0,117.0,120.0,120.0,165.0,165.0,178.0,178.0,165.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,145.0,178.0,120.0,120.0,117.0,117.0,99.0,100.0,113.0,117.0,120.0,120.0
145.0,145.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,145.0,178.0,178.0,120.0,120.0,117.0,99.0,100.0,99.0,99.0,120.0,120.0,124.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,188.0,188.0,178.0,178.0,191.0,191.0,178.0,178.0,178.0,124.0,120.0,120.0,99.0,99.0,117.0,120.0,124.0,145.0,178.0,178.0,178.0,191.0,191.0,178.0,178.0,188.0,178.0,178.0,178.0,188.0,178.0,178.0,178.0,178.0,124.0,120.0,120.0,99.0,99.0,100.0,117.0,120.0,124.0,178.0,169.0,178.0,178.0,169.0,191.0,178.0,178.0,191.0,178.0,178.0,191.0,191.0,178.0,178.0,178.0,124.0,120.0,120.0,100.0,100.0,99.0,99.0,117.0,120.0,120.0,165.0,165.0,165.0,178.0,165.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,178.0,145.0,145.0,120.0,120.0,117.0,117.0,113.0,113.0,113.0,117.0,120.0,120.0,178.0
99.0,100.0,99.0,100.0,99.0,100.0,99.0,99.0,99.0,99.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,100.0,100.0,99.0,99.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,99.0,100.0,99.0,99.0,99.0,99.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,99.0,99.0,99.0,99.0,100.0,100.0,99.0,99.0,100.0,99.0,99.0,99.0,99.0,99.0,100.0,99.0,99.0,99.0,99.0,99.0,100.0,99.0,99.0,100.0,99.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,99.0,99.0,99.0,100.0,99.0,99.0,99.0,99.0,99.0,100.0,100.0,99.0,99.0,100.0,99.0,99.0,99.0,99.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0
99.0,100.0,106.0,127.0,117.0,99.0,120.0,191.0,241.0,628.0,181.0,120.0,142.0,162.0,191.0,191.0,241.0,250.0,191.0,141.0,204.0,191.0,187.0,191.0,124.0,120.0,99.0,113.0,110.0,106.0,103.0,99.0,99.0,103.0,106.0,110.0,113.0,99.0,120.0,241.0,169.0,296.0,181.0,141.0,229.0,191.0,191.0,181.0,229.0,204.0,162.0,204.0,204.0,191.0,640.0,191.0,124.0,120.0,99.0,113.0,110.0,103.0,99.0,99.0,99.0,103.0,110.0,113.0,113.0,100.0,120.0,207.0,168.0,296.0,181.0,159.0,628.0,204.0,229.0,191.0,229.0,229.0,204.0,159.0,191.0,628.0,637.0,178.0,120.0,99.0,113.0,127.0,103.0,99.0,99.0,99.0,99.0,100.0,106.0,124.0,131.0,117.0,120.0,191.0,191.0,232.0,194.0,159.0,120.0,120.0,120.0,191.0,204.0,120.0,120.0,120.0,141.0,178.0,191.0,178.0,120.0,120.0,99.0,131.0,124.0,103.0,99.0,100.0
106.0,96.0,99.0,120.0,124.0,645.0,636.0,120.0,241.0,162.0,191.0,191.0,141.0,120.0,204.0,191.0,141.0,145.0,120.0,191.0,178.0,204.0,191.0,120.0,99.0,99.0,113.0,106.0,103.0,100.0,96.0,96.0,99.0,99.0,106.0,127.0,628.0,99.0,120.0,191.0,191.0,624.0,169.0,1065.0,1016.0,641.0,217.0,217.0,364.0,178.0,181.0,194.0,229.0,181.0,229.0,120.0,99.0,131.0,124.0,99.0,99.0,96.0,96.0,96.0,99.0,99.0,120.0,124.0,165.0,152.0,204.0,191.0,178.0,619.0,204.0,182.0,194.0,229.0,181.0,181.0,191.0,204.0,258.0,364.0,636.0,632.0,204.0,124.0,120.0,117.0,113.0,124.0,103.0,99.0,99.0,103.0,120.0,124.0,113.0,117.0,120.0,124.0,207.0,169.0,181.0,120.0,204.0,162.0,178.0,178.0,178.0,159.0,191.0,162.0,162.0,191.0,188.0,178.0,178.0,178.0,120.0,100.0,99.0,113.0,110.0,106.0,103.0,103.0
110.0,99.0,103.0,124.0,304.0,628.0,120.0,241.0,162.0,191.0,191.0,141.0,120.0,380.0,191.0,141.0,162.0,162.0,191.0,178.0,201.0,191.0,124.0,99.0,99.0,113.0,106.0,103.0,99.0,96.0,96.0,99.0,99.0,106.0,127.0,632.0,99.0,120.0,191.0,191.0,628.0,168.0,641.0,194.0,632.0,217.0,204.0,364.0,178.0,194.0,194.0,241.0,182.0,124.0,120.0,99.0,131.0,124.0,99.0,99.0,96.0,96.0,96.0,99.0,99.0,120.0,124.0,165.0,152.0,204.0,191.0,178.0,250.0,207.0,181.0,194.0,249.0,181.0,181.0,194.0,194.0,258.0,364.0,385.0,628.0,204.0,124.0,120.0,117.0,113.0,124.0,103.0,100.0,100.0,103.0,107.0,124.0,113.0,117.0,120.0,124.0,241.0,168.0,194.0,120.0,204.0,162.0,178.0,191.0,191.0,141.0,191.0,175.0,162.0,191.0,188.0,178.0,178.0,178.0,120.0,99.0,100.0,113.0,110.0,107.0,103.0,103.0,106.0
178.0,141.0,120.0,120.0,117.0,117.0,117.0,113.0,113.0,110.0,113.0,131.0,117.0,117.0,120.0,120.0,120.0,178.0,165.0,165.0,178.0,178.0,178.0,178.0,178.0,178.0,165.0,178.0,141.0,145.0,120.0,120.0,117.0,117.0,99.0,99.0,99.0,117.0,120.0,120.0,178.0,165.0,178.0,178.0,168.0,178.0,178.0,159.0,188.0,178.0,191.0,191.0,178.0,178.0,191.0,178.0,127.0,127.0,124.0,120.0,103.0,106.0,120.0,127.0,127.0,178.0,191.0,117.0,191.0,191.0,141.0,178.0,178.0,162.0,178.0,178.0,178.0,141.0,178.0,117.0,117.0,178.0,131.0,128.0,124.0,106.0,106.0,124.0,127.0,127.0,178.0,191.0,191.0,178.0,159.0,159.0,178.0,178.0,141.0,178.0,178.0,178.0,178.0,178.0,165.0,165.0,178.0,120.0,120.0,117.0,99.0,99.0,99.0,117.0,117.0,117.0,120.0,178.0,145.0,141.0,165.0,165.0,178.0,178.0,165.0,178.0,178.0,178.0
