1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,shape
117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,120,120,120,120,120,120,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,cylinder
120,120,138,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,138,120,120,121,120,120,117,117,117,117,117,117,117,117,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,117,117,117,117,117,117,117,117,cylinder
131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,117,117,117,117,117,117,117,117,120,120,120,120,120,120,120,120,120,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,120,120,120,120,120,120,120,117,117,117,117,117,117,117,131,131,131,131,131,131,cylinder
131,131,131,131,131,117,117,117,117,117,120,120,120,120,124,124,124,124,127,127,127,127,128,127,127,127,127,127,127,127,127,127,127,127,127,127,127,124,124,124,120,120,120,117,117,117,117,117,131,131,131,131,131,131,127,127,127,127,141,141,141,141,141,141,141,141,141,141,141,141,141,141,cylinder
120,120,120,138,124,124,127,128,128,127,131,131,131,131,131,131,117,117,117,117,117,131,131,131,131,131,127,127,127,127,127,124,124,120,120,117,117,117,131,131,131,127,127,127,141,141,141,138,138,138,138,138,138,138,138,138,138,138,138,138,138,141,141,141,141,145,127,127,131,131,131,117,cylinder
117,117,120,120,120,120,120,120,138,138,138,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,138,138,120,120,120,120,120,120,117,117,117,117,117,117,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,117,117,cylinder
128,128,127,127,127,127,128,127,127,141,124,124,124,124,138,120,120,120,117,117,117,117,117,117,117,117,131,131,131,131,131,131,131,131,131,131,127,145,145,145,128,145,127,145,128,127,145,131,131,131,131,131,131,131,131,117,117,117,117,117,120,120,120,120,124,124,124,124,124,128,127,127,cylinder
141,141,141,141,141,141,141,141,141,141,141,145,145,131,131,131,131,131,131,117,117,117,117,117,120,120,120,124,124,124,127,128,127,127,127,131,131,131,131,131,131,131,127,127,127,127,127,127,127,127,124,124,124,120,120,120,120,117,117,117,117,131,131,131,131,127,127,127,141,141,141,141,cylinder
124,127,127,127,127,127,127,131,131,131,131,131,131,131,131,131,131,131,131,127,127,127,127,127,127,124,124,124,120,120,120,117,117,117,117,131,131,131,127,128,141,141,141,141,141,138,138,138,138,138,138,138,138,138,141,141,141,141,141,141,127,127,131,131,131,131,117,117,117,117,120,120,cylinder
120,120,117,117,117,117,117,117,117,117,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,117,117,117,117,117,117,117,117,120,120,120,120,120,120,120,120,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,120,120,120,120,120,cylinder
117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,117,120,117,117,117,117,117,117,117,117,117,117,117,117,cylinder
141,141,142,141,127,127,127,127,127,127,128,131,131,131,131,131,131,117,117,117,117,120,120,120,120,124,124,124,124,124,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,124,124,124,124,120,120,120,120,117,117,117,117,117,131,131,131,131,131,131,127,127,127,127,141,141,cylinder
131,131,131,131,131,131,131,127,127,128,127,127,124,124,120,120,120,117,117,117,117,131,131,131,131,127,127,145,141,141,141,141,141,138,138,138,138,138,138,138,141,141,141,141,141,141,127,127,131,131,131,131,131,117,117,117,117,120,120,124,124,124,127,127,127,127,127,131,131,131,131,131,cylinder
117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,117,cylinder
117,117,117,117,117,120,120,120,124,124,124,124,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,124,124,124,124,120,120,120,120,117,117,117,117,131,131,131,131,131,128,127,127,141,141,141,141,141,141,141,141,141,141,141,141,145,127,127,127,131,131,131,131,cylinder
120,120,120,117,117,117,117,117,131,131,131,131,127,127,127,141,141,141,141,141,138,138,138,141,141,141,141,141,141,141,141,145,145,145,131,131,131,131,117,117,117,117,120,120,138,124,124,128,127,127,127,127,131,131,131,131,113,117,117,117,117,117,117,117,117,113,131,131,127,127,127,127,cylinder
141,141,145,141,128,127,127,127,127,131,131,131,131,131,131,131,131,117,117,117,117,117,120,120,120,120,124,124,124,124,124,127,127,127,127,127,127,127,128,127,127,127,127,127,127,127,127,127,124,124,124,124,120,120,120,117,117,117,117,117,131,131,131,131,131,131,127,127,127,128,127,145,cylinder
141,127,127,131,131,117,117,120,120,124,124,127,127,127,127,131,117,117,117,117,117,117,117,120,120,120,117,117,117,117,117,117,117,117,131,131,127,127,127,124,124,138,120,117,117,131,131,131,127,141,141,138,138,138,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,138,138,cylinder
127,131,131,131,131,131,131,131,131,131,131,131,117,117,117,117,117,117,117,120,120,120,120,120,124,124,124,124,124,124,124,124,124,127,124,127,127,124,124,124,124,124,124,124,124,124,124,138,120,120,120,120,117,117,117,117,117,117,131,131,131,131,131,131,131,131,131,128,127,127,127,127,cylinder
127,127,131,131,131,131,131,131,131,131,127,127,127,127,127,127,127,124,124,124,120,120,120,117,117,117,117,131,131,131,131,127,127,141,141,141,141,141,141,138,138,138,138,138,141,141,141,141,141,141,141,145,127,127,127,131,131,131,131,117,117,117,117,120,120,120,124,124,124,127,127,127,cylinder
117,117,117,117,131,131,131,131,131,131,131,127,128,127,127,127,127,127,127,127,127,127,127,127,127,131,131,131,131,131,131,131,117,117,117,117,117,117,120,120,120,120,124,124,124,124,127,127,127,127,127,128,127,127,127,127,127,127,127,124,124,124,124,124,124,120,120,120,120,120,117,117,cylinder
134,138,138,138,138,138,138,138,141,141,141,127,127,131,131,131,131,117,117,117,120,120,120,124,124,127,128,127,127,131,131,131,117,117,117,117,117,117,117,117,117,117,117,131,131,131,127,127,127,127,127,124,124,120,120,117,117,117,131,131,131,127,127,141,141,141,141,138,138,138,138,138,cylinder
117,117,117,117,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,117,117,117,117,117,117,117,120,120,120,120,120,120,120,120,138,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,120,120,120,120,120,120,120,117,117,117,117,cylinder
131,131,117,117,117,117,117,117,120,120,120,120,120,124,124,124,124,124,124,127,127,127,127,127,127,127,127,127,127,124,124,124,124,124,124,124,120,120,120,120,120,120,117,117,117,117,117,117,131,131,131,131,131,131,131,131,131,131,131,131,131,145,131,127,127,131,131,131,131,131,131,131,cylinder
131,131,131,131,131,131,131,131,127,127,127,127,127,124,124,124,120,120,120,117,117,117,131,131,131,131,128,127,127,141,141,141,141,141,141,141,138,138,138,138,138,138,141,141,141,141,141,127,127,131,131,131,131,117,117,117,117,120,120,120,138,124,124,124,127,127,127,127,127,127,127,127,cylinder
131,131,131,131,131,131,145,145,145,127,127,127,127,127,127,131,131,131,131,131,131,131,131,131,131,117,117,117,117,117,117,117,120,120,120,120,124,124,124,124,124,124,127,127,127,127,127,127,127,127,127,127,127,128,128,124,124,124,124,124,120,120,120,120,117,117,117,117,117,131,131,131,cylinder
117,117,120,120,120,124,124,124,127,127,127,127,128,127,127,127,131,131,131,131,131,131,127,127,127,127,127,127,127,124,124,124,120,120,120,117,117,117,117,117,131,131,131,131,127,127,127,127,127,141,141,141,141,141,141,141,141,141,141,141,141,141,141,145,145,127,131,131,131,131,131,131,cylinder
117,117,117,117,117,131,131,131,127,127,127,124,124,120,120,117,117,131,131,131,127,141,141,141,138,138,138,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,138,138,138,141,142,127,127,131,131,117,117,117,120,124,124,127,127,131,131,117,117,117,117,117,120,120,120,120,120,120,cylinder
141,141,141,127,127,131,131,131,131,131,117,117,117,117,120,120,120,124,124,124,124,127,127,127,127,127,127,127,127,127,128,127,128,127,127,127,128,127,127,127,128,124,124,124,124,120,120,120,120,117,117,117,117,117,131,131,131,131,131,131,127,127,141,141,141,141,141,141,141,141,141,141,cylinder
117,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,117,117,117,117,117,117,117,117,117,117,117,117,117,117,117,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,117,117,117,117,117,117,117,117,117,117,117,120,120,120,120,120,120,120,cylinder
131,131,131,131,131,131,131,131,131,117,117,117,117,117,117,117,120,120,120,120,120,124,124,124,124,124,128,127,127,127,128,127,127,124,127,128,127,128,127,124,124,124,124,124,124,120,120,120,120,120,121,117,117,117,117,117,117,117,131,131,131,131,131,131,131,131,131,131,131,127,127,127,cylinder
